Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.877	80.293	53.529%	20.592	48.563%	0.28655	0.832
PD53332a	244	0.981	53.202	21.804%	12.283	19.485%	0.06302	0.972
PD53332c	362	0.985	64.037	17.69%	19.421	17.889%	0.04567	0.981
PD53333a	234	0.97	64.019	27.359%	14.676	24.453%	0.09826	0.955
PD53333c	209	0.987	36.916	17.663%	10.658	17.81%	0.05332	0.984
PD53333d	228	0.989	43.957	19.279%	9.415	15.285%	0.06995	0.984
PD53333e	197	0.99	35.469	18.005%	7.527	14.278%	0.05597	0.986
PD53343a	142	0.962	39.305	27.68%	11.211	27.993%	0.08133	0.948
PD53343c	171	0.975	46.495	27.19%	10.37	22.667%	0.09523	0.964
PD53343d	226	0.988	46.559	20.601%	11.06	16.034%	0.06042	0.985
PD53343e	268	0.973	76.072	28.385%	24.171	26.863%	0.10801	0.971
PD53343f	177	0.976	47.838	27.027%	11.404	22.344%	0.08146	0.968
PD53343g	180	0.982	37.972	21.096%	9.273	19.104%	0.06878	0.976
PD53347a	299	0.996	33.322	11.144%	7.916	9.351%	0.01715	0.995
PD53349a	173	0.962	54.897	31.732%	11.752	27.419%	0.10664	0.942
PD53349c	189	0.966	55.723	29.483%	11.391	25.71%	0.13209	0.946
PD53350a	241	0.987	44.028	18.269%	10.126	16.163%	0.06421	0.982
PD53350c	295	0.99	55.004	18.645%	11.379	14.823%	0.0597	0.986
PD53352a	174	0.952	62.095	35.687%	14.432	31.33%	0.13751	0.932
PD53352c	173	0.959	65.668	37.958%	13.551	28.715%	0.14051	0.943
PD53355a	193	0.942	68.476	35.48%	17.482	33.539%	0.11895	0.918
PD53357a	182	0.951	71.349	39.203%	15.321	31.248%	0.15604	0.932
PD53359a	151	0.93	65.221	43.193%	15.796	36.775%	0.22949	0.905
PD53364a	260	0.952	87.424	33.625%	20.235	30.568%	0.11678	0.929
