Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.881	79.045	52.697%	20.229	47.707%	0.27893	0.836
PD53332a	244	0.981	53.194	21.801%	12.353	19.596%	0.06149	0.972
PD53332c	362	0.984	64.449	17.804%	20.552	18.931%	0.04358	0.979
PD53333a	234	0.938	94.145	40.233%	21.363	35.595%	0.18103	0.909
PD53333c	209	0.964	66.26	31.703%	16.195	27.063%	0.12223	0.953
PD53333d	228	0.971	66.942	29.361%	14.839	24.091%	0.13143	0.959
PD53333e	197	0.954	63.432	32.199%	15.871	30.106%	0.14316	0.934
PD53343a	142	0.959	42.478	29.914%	11.503	28.722%	0.0954	0.944
PD53343c	171	0.974	46.164	26.996%	10.476	22.899%	0.09733	0.963
PD53343d	226	0.983	60.006	26.551%	13.979	20.266%	0.08048	0.979
PD53343e	268	0.97	84.746	31.622%	26.505	29.457%	0.11697	0.97
PD53343f	177	0.973	53.529	30.242%	12.086	23.68%	0.10152	0.964
PD53343g	180	0.978	42.351	23.528%	10.119	20.847%	0.08802	0.97
PD53347a	299	0.981	64.786	21.668%	17.329	20.469%	0.05239	0.975
PD53349a	173	0.962	55.2	31.908%	11.74	27.391%	0.10818	0.942
PD53349c	189	0.966	55.29	29.254%	11.441	25.823%	0.13606	0.945
PD53350a	241	0.965	65.798	27.302%	16.81	26.832%	0.07824	0.949
PD53350c	295	0.977	76.906	26.07%	17.026	22.179%	0.09375	0.968
PD53352a	174	0.953	61.809	35.522%	14.56	31.607%	0.13241	0.934
PD53352c	173	0.963	61.346	35.46%	13.141	27.846%	0.1375	0.949
PD53355a	193	0.904	81.758	42.362%	22.238	42.663%	0.1795	0.863
PD53357a	182	0.949	72.386	39.773%	15.69	32.0%	0.15723	0.929
PD53359a	151	0.929	66.017	43.72%	15.963	37.163%	0.23599	0.902
PD53364a	260	0.953	86.841	33.4%	19.952	30.14%	0.11582	0.931
