Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.964	48.186	41.54%	9.162	26.604%	0.28677	0.953
PD53331a	169	0.853	93.621	55.397%	26.897	52.259%	0.32212	0.805
PD53332d	162	0.958	69.283	42.767%	13.881	31.101%	0.20126	0.948
PD53332e	90	0.929	49.648	55.164%	14.677	39.509%	0.36863	0.921
PD53333f	203	0.945	76.068	37.472%	18.252	33.452%	0.25948	0.924
PD53334a	135	0.956	57.733	42.765%	11.506	29.898%	0.24875	0.941
PD53337a	76	0.881	48.238	63.471%	13.087	47.285%	0.40299	0.857
PD53337c	85	0.939	40.982	48.214%	9.139	34.274%	0.27672	0.922
PD53338a	190	0.937	78.438	41.283%	16.036	35.027%	0.1651	0.9
PD53339a	126	0.946	48.286	38.322%	11.564	33.135%	0.1943	0.926
PD53341a	177	0.952	61.51	34.751%	14.04	30.689%	0.13853	0.929
PD53342a	167	0.953	63.506	38.028%	16.105	30.594%	0.16161	0.941
PD53343h	85	0.954	36.429	42.858%	9.432	32.409%	0.19086	0.947
PD53343i	105	0.967	35.559	33.866%	8.533	27.051%	0.14566	0.959
PD53345a	173	0.911	98.59	56.988%	22.611	42.708%	0.27897	0.889
PD53346a	165	0.877	107.882	65.383%	26.683	51.514%	0.39638	0.86
PD53347c	261	0.99	48.979	18.766%	12.007	14.587%	0.04898	0.987
PD53348a	173	0.874	88.775	51.315%	23.326	48.776%	0.28775	0.823
PD53349d	157	0.944	65.009	41.407%	12.369	34.109%	0.19185	0.91
PD53349e	134	0.899	73.139	54.581%	13.477	45.431%	0.34809	0.827
PD53350d	190	0.969	62.874	33.092%	13.477	25.139%	0.137	0.958
PD53350e	187	0.967	56.579	30.256%	13.381	25.833%	0.1036	0.955
PD53351a	369	0.945	131.448	35.623%	32.366	33.553%	0.14075	0.922
PD53352d	138	0.925	73.448	53.223%	15.491	38.559%	0.25504	0.9
PD53352e	178	0.944	71.006	39.891%	15.868	33.001%	0.16757	0.921
PD53353a	105	0.863	65.82	62.686%	13.627	50.609%	0.37745	0.792
PD53354a	102	0.979	29.329	28.754%	7.219	20.241%	0.12958	0.975
PD53355c	156	0.945	70.693	45.316%	15.423	34.248%	0.19926	0.93
PD53357c	124	0.945	62.659	50.531%	13.574	36.461%	0.2655	0.938
PD53357d	181	0.973	45.075	24.903%	10.852	22.924%	0.12647	0.962
PD53357e	162	0.969	48.672	30.044%	10.109	24.62%	0.1537	0.954
PD53358a	166	0.893	93.104	56.087%	19.669	47.426%	0.2964	0.842
PD53359c	186	0.85	102.247	54.972%	24.187	57.686%	0.27055	0.761
PD53361a	124	0.975	44.813	36.14%	9.214	24.18%	0.17197	0.971
PD53362a	107	0.937	62.592	58.497%	12.05	37.935%	0.28922	0.926
PD53363a	94	0.879	56.629	60.244%	12.305	47.97%	0.3227	0.829
PD53364c	252	0.952	96.284	38.208%	22.059	31.564%	0.12656	0.936
PD53365a	230	0.976	58.019	25.226%	13.259	21.965%	0.11841	0.965
PD53366a	77	0.866	51.591	67.001%	11.561	50.456%	0.38605	0.822
PD53367a	134	0.875	71.572	53.412%	17.949	48.564%	0.28326	0.824
PD53368a	258	0.965	87.918	34.077%	18.133	27.007%	0.14166	0.951
PD53369a	118	0.914	57.968	49.125%	14.543	40.586%	0.27984	0.888
