Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.979	34.928	30.11%	7.064	20.512%	0.1961	0.972
PD53332d	162	0.958	64.196	39.627%	13.541	30.339%	0.17709	0.946
PD53332e	90	0.959	40.731	45.257%	11.388	30.655%	0.28363	0.955
PD53333f	203	0.933	88.742	43.715%	19.958	36.579%	0.2193	0.906
PD53334a	135	0.967	48.381	35.838%	10.057	26.133%	0.21453	0.955
PD53337c	85	0.96	33.412	39.308%	7.467	28.003%	0.23141	0.949
PD53338a	190	0.937	75.341	39.653%	16.173	35.326%	0.16687	0.901
PD53342a	167	0.941	76.486	45.8%	18.564	35.266%	0.2085	0.927
PD53343h	85	0.963	36.479	42.916%	8.379	28.791%	0.18159	0.958
PD53343i	105	0.966	37.267	35.492%	8.429	26.722%	0.15189	0.956
PD53345a	173	0.947	72.673	42.008%	17.427	32.916%	0.17118	0.932
PD53347c	261	0.996	33.029	12.655%	7.966	9.678%	0.02204	0.995
PD53348a	173	0.938	82.598	47.745%	17.549	36.696%	0.22704	0.921
PD53349d	157	0.955	54.53	34.732%	11.042	30.45%	0.14134	0.928
PD53349e	134	0.921	61.484	45.884%	12.495	42.121%	0.22498	0.872
PD53350d	190	0.974	53.906	28.372%	12.183	22.725%	0.09341	0.965
PD53350e	187	0.971	49.03	26.219%	12.374	23.889%	0.07539	0.96
PD53351a	369	0.988	76.907	20.842%	15.167	15.723%	0.05373	0.983
PD53352d	138	0.974	44.601	32.32%	9.116	22.691%	0.11546	0.965
PD53352e	178	0.966	55.826	31.363%	12.56	26.121%	0.11279	0.953
PD53354a	102	0.969	37.633	36.895%	9.289	26.045%	0.19413	0.964
PD53355c	156	0.97	48.391	31.02%	11.045	24.526%	0.14613	0.96
PD53357c	124	0.953	57.2	46.129%	12.147	32.628%	0.23152	0.944
PD53357d	181	0.972	46.821	25.868%	11.117	23.484%	0.13738	0.96
PD53357e	162	0.974	44.215	27.293%	9.263	22.559%	0.13056	0.962
PD53358a	166	0.929	63.099	38.011%	15.374	37.07%	0.16195	0.891
PD53359c	186	0.848	105.2	56.559%	23.459	55.95%	0.30223	0.746
PD53361a	124	0.981	38.91	31.379%	8.123	21.317%	0.14256	0.978
PD53362a	107	0.939	58.78	54.935%	11.355	35.747%	0.28872	0.923
PD53364c	252	0.979	66.8	26.508%	14.139	20.232%	0.1253	0.972
PD53365a	230	0.971	62.18	27.035%	14.38	23.822%	0.12861	0.959
PD53368a	258	0.972	76.344	29.591%	16.075	23.942%	0.10842	0.961
PD53369a	118	0.944	45.391	38.467%	11.847	33.062%	0.21585	0.927
