Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.923	62.3	41.533%	16.98	40.044%	0.19548	0.9
PD53332a	244	0.981	53.014	21.727%	12.392	19.657%	0.06713	0.973
PD53332c	362	0.994	44.557	12.309%	12.662	11.663%	0.03077	0.993
PD53333a	234	0.986	45.417	19.409%	9.944	16.569%	0.05899	0.98
PD53333c	209	0.992	39.5	18.9%	8.875	14.831%	0.05968	0.99
PD53333d	228	0.991	38.689	16.969%	8.47	13.751%	0.06061	0.987
PD53333e	197	0.994	30.536	15.501%	6.176	11.716%	0.0454	0.991
PD53343a	142	0.987	29.046	20.455%	6.683	16.687%	0.07939	0.983
PD53343c	171	0.979	42.243	24.704%	9.336	20.407%	0.1058	0.97
PD53343d	226	0.992	40.178	17.778%	9.223	13.371%	0.05053	0.99
PD53343e	268	0.996	43.266	16.144%	10.572	11.75%	0.04477	0.996
PD53343f	177	0.985	38.657	21.84%	8.762	17.167%	0.06314	0.98
PD53343g	180	0.989	34.752	19.307%	7.199	14.831%	0.0651	0.985
PD53347a	299	0.999	13.471	4.505%	3.019	3.566%	0.00786	0.999
PD53349a	173	0.969	51.608	29.831%	10.638	24.82%	0.11207	0.952
PD53349c	189	0.982	44.505	23.548%	8.482	19.144%	0.08984	0.971
PD53350a	241	0.988	43.82	18.183%	9.698	15.48%	0.04966	0.983
PD53350c	295	0.989	54.623	18.516%	11.702	15.244%	0.05908	0.984
PD53352a	174	0.987	36.474	20.962%	7.351	15.958%	0.06455	0.982
PD53352c	173	0.989	31.151	18.006%	6.845	14.505%	0.06471	0.985
PD53355a	193	0.973	52.205	27.049%	12.117	23.246%	0.08552	0.963
PD53357a	182	0.983	43.778	24.054%	9.438	19.249%	0.08096	0.976
PD53359a	151	0.975	39.095	25.891%	9.93	23.118%	0.10732	0.967
PD53364a	260	0.977	59.727	22.972%	14.08	21.27%	0.06034	0.966
