Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.705	97.68	84.207%	24.418	70.904%	0.55838	0.585
PD53331a	169	0.544	177.091	104.788%	43.935	85.363%	0.9935	0.343
PD53332d	162	0.858	106.7	65.864%	23.267	52.131%	0.37455	0.802
PD53332e	90	0.58	101.309	112.566%	30.348	81.694%	0.94583	0.498
PD53333f	203	0.786	166.479	82.009%	33.764	61.882%	0.51026	0.68
PD53334a	135	0.757	101.82	75.422%	25.148	65.347%	0.49726	0.653
PD53337a	76	0.554	78.583	103.399%	23.05	83.283%	0.84389	0.423
PD53337c	85	0.665	75.664	89.016%	19.917	74.695%	0.60485	0.541
PD53338a	190	0.868	103.554	54.502%	22.786	49.771%	0.28282	0.784
PD53339a	126	0.722	107.463	85.288%	24.184	69.295%	0.68107	0.588
PD53341a	177	0.747	137.757	77.829%	30.617	66.923%	0.46372	0.604
PD53342a	167	0.662	159.053	95.241%	39.475	74.99%	0.62521	0.538
PD53343h	85	0.71	70.442	82.873%	20.667	71.013%	0.62751	0.636
PD53343i	105	0.772	82.913	78.965%	20.163	63.921%	0.50377	0.692
PD53345a	173	0.777	143.378	82.877%	33.59	63.445%	0.54953	0.706
PD53346a	165	0.786	138.231	83.776%	32.512	62.767%	0.5772	0.726
PD53347c	261	0.559	280.054	107.3%	68.93	83.744%	0.8537	0.38
PD53348a	173	0.698	140.312	81.105%	34.395	71.922%	0.59964	0.549
PD53349d	157	0.863	87.546	55.762%	18.446	50.867%	0.33228	0.766
PD53349e	134	0.812	90.219	67.328%	17.87	60.24%	0.41145	0.664
PD53350d	190	0.786	151.606	79.793%	33.181	61.894%	0.51551	0.695
PD53350e	187	0.8	133.456	71.367%	31.112	60.064%	0.42493	0.712
PD53351a	369	0.865	205.076	55.576%	48.678	50.463%	0.24894	0.8
PD53352d	138	0.759	116.191	84.196%	26.194	65.2%	0.52865	0.662
PD53352e	178	0.783	138.312	77.703%	29.903	62.19%	0.45562	0.677
PD53353a	105	0.806	75.484	71.89%	15.968	59.304%	0.49763	0.698
PD53354a	102	0.591	116.763	114.474%	28.789	80.72%	0.90543	0.464
PD53355c	156	0.782	118.792	76.149%	28.122	62.447%	0.4495	0.696
PD53357c	124	0.829	95.674	77.156%	21.299	57.211%	0.45911	0.78
PD53357d	181	0.86	113.309	62.602%	24.226	51.175%	0.38723	0.793
PD53357e	162	0.88	87.649	54.104%	19.536	47.578%	0.29603	0.818
PD53358a	166	0.701	126.707	76.33%	30.235	72.903%	0.44273	0.516
PD53359c	186	0.727	145.167	78.047%	30.205	72.039%	0.56987	0.519
PD53361a	124	0.744	99.929	80.588%	25.548	67.046%	0.51992	0.655
PD53362a	107	0.809	78.168	73.054%	18.888	59.462%	0.44953	0.747
PD53363a	94	0.805	65.813	70.014%	15.232	59.381%	0.37421	0.716
PD53364c	252	0.843	158.474	62.887%	37.995	54.367%	0.32733	0.78
PD53365a	230	0.868	139.438	60.625%	30.136	49.923%	0.35306	0.807
PD53366a	77	0.623	71.866	93.332%	18.052	78.785%	0.7077	0.457
PD53367a	134	0.667	116.119	86.656%	27.809	75.242%	0.66734	0.498
PD53368a	258	0.881	140.464	54.443%	32.046	47.729%	0.283	0.826
PD53369a	118	0.696	105.385	89.309%	25.731	71.808%	0.57952	0.578
