Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.888	71.794	47.863%	19.537	46.075%	0.2264	0.844
PD53332a	244	0.981	54.746	22.437%	12.258	19.445%	0.0607	0.972
PD53332c	362	0.992	49.75	13.743%	14.463	13.322%	0.03692	0.99
PD53333a	234	0.982	52.256	22.332%	11.339	18.893%	0.07534	0.974
PD53333c	209	0.99	37.976	18.17%	9.164	15.314%	0.05187	0.988
PD53333d	228	0.993	35.626	15.625%	7.437	12.074%	0.04976	0.99
PD53333e	197	0.992	31.879	16.182%	6.638	12.592%	0.04263	0.989
PD53343a	142	0.991	23.856	16.8%	5.586	13.948%	0.04929	0.988
PD53343c	171	0.985	35.016	20.477%	7.984	17.452%	0.07037	0.979
PD53343d	226	0.991	39.336	17.405%	9.316	13.506%	0.04753	0.989
PD53343e	268	0.998	32.374	12.08%	7.59	8.435%	0.03801	0.998
PD53343f	177	0.979	48.005	27.121%	10.643	20.853%	0.09468	0.972
PD53343g	180	0.989	37.001	20.556%	7.337	15.116%	0.06964	0.984
PD53347a	299	0.999	16.732	5.596%	3.534	4.174%	0.00809	0.999
PD53349a	173	0.966	53.937	31.177%	11.034	25.744%	0.11874	0.949
PD53349c	189	0.979	45.588	24.121%	9.124	20.593%	0.09777	0.965
PD53350a	241	0.987	46.841	19.436%	9.964	15.904%	0.05223	0.982
PD53350c	295	0.989	54.763	18.564%	11.69	15.228%	0.05201	0.984
PD53352a	174	0.99	33.05	18.994%	6.691	14.525%	0.06052	0.985
PD53352c	173	0.985	39.142	22.625%	8.151	17.272%	0.08131	0.98
PD53355a	193	0.969	55.231	28.617%	12.965	24.873%	0.09573	0.957
PD53357a	182	0.98	47.875	26.305%	10.057	20.512%	0.09098	0.972
PD53359a	151	0.975	44.567	29.515%	9.997	23.274%	0.1107	0.968
PD53364a	260	0.99	45.44	17.477%	9.534	14.403%	0.03863	0.985
