Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.978	35.656	30.738%	7.197	20.898%	0.19637	0.971
PD53332d	162	0.971	54.259	33.493%	11.167	25.02%	0.14971	0.961
PD53332e	90	0.981	32.868	36.52%	7.895	21.253%	0.21411	0.979
PD53333f	203	0.963	75.665	37.273%	15.565	28.527%	0.16692	0.953
PD53334a	135	0.971	46.086	34.138%	9.227	23.976%	0.19893	0.961
PD53337c	85	0.971	29.257	34.42%	6.53	24.489%	0.21369	0.963
PD53338a	190	0.951	65.465	34.455%	14.266	31.161%	0.13672	0.923
PD53342a	167	0.966	57.279	34.299%	14.533	27.608%	0.14331	0.96
PD53343h	85	0.967	33.168	39.021%	7.653	26.296%	0.17576	0.961
PD53343i	105	0.963	42.045	40.043%	8.919	28.275%	0.18345	0.954
PD53345a	173	0.944	76.399	44.161%	18.373	34.703%	0.20661	0.931
PD53347c	261	0.999	21.821	8.361%	4.588	5.574%	0.01432	0.998
PD53348a	173	0.982	38.46	22.231%	9.202	19.242%	0.09693	0.975
PD53349d	157	0.965	50.507	32.17%	9.702	26.755%	0.10933	0.944
PD53349e	134	0.923	60.211	44.934%	12.053	40.631%	0.22258	0.872
PD53350d	190	0.978	50.816	26.745%	11.312	21.101%	0.09338	0.97
PD53350e	187	0.975	47.433	25.365%	11.583	22.362%	0.07653	0.966
PD53351a	369	0.988	72.918	19.761%	15.127	15.682%	0.05186	0.982
PD53352d	138	0.979	39.749	28.804%	8.156	20.301%	0.09651	0.972
PD53352e	178	0.97	54.503	30.62%	12.027	25.013%	0.10495	0.959
PD53354a	102	0.977	33.217	32.566%	7.897	22.142%	0.15521	0.973
PD53355c	156	0.975	47.868	30.685%	10.229	22.714%	0.13278	0.967
PD53357c	124	0.97	44.893	36.204%	9.689	26.025%	0.1899	0.963
PD53357d	181	0.976	48.879	27.005%	10.615	22.423%	0.13039	0.965
PD53357e	162	0.977	43.138	26.628%	8.889	21.648%	0.12117	0.965
PD53358a	166	0.946	60.262	36.302%	13.424	32.368%	0.14052	0.918
PD53359c	186	0.963	57.721	31.033%	11.447	27.301%	0.12222	0.937
PD53361a	124	0.986	33.012	26.623%	6.746	17.704%	0.11727	0.983
PD53362a	107	0.959	48.249	45.093%	9.219	29.023%	0.23527	0.948
PD53364c	252	0.975	75.333	29.894%	15.994	22.886%	0.12199	0.966
PD53365a	230	0.97	70.065	30.463%	15.392	25.498%	0.15408	0.958
PD53368a	258	0.971	76.473	29.641%	16.137	24.034%	0.10559	0.959
PD53369a	118	0.941	46.323	39.257%	12.125	33.838%	0.22014	0.923
