Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.976	37.903	32.675%	7.515	21.822%	0.1988	0.968
PD53332d	162	0.974	53.38	32.951%	10.854	24.319%	0.14699	0.967
PD53332e	90	0.985	30.2	33.556%	6.869	18.491%	0.19372	0.984
PD53333f	203	0.966	67.444	33.224%	14.567	26.698%	0.13766	0.954
PD53334a	135	0.979	38.453	28.484%	8.02	20.84%	0.15698	0.972
PD53337c	85	0.975	29.676	34.913%	5.998	22.494%	0.23917	0.968
PD53338a	190	0.956	61.359	32.294%	13.47	29.422%	0.12891	0.931
PD53342a	167	0.967	55.947	33.501%	14.398	27.352%	0.14171	0.961
PD53343h	85	0.971	30.008	35.304%	7.16	24.602%	0.15686	0.966
PD53343i	105	0.965	40.554	38.623%	8.632	27.365%	0.17957	0.955
PD53345a	173	0.963	61.023	35.273%	14.953	28.243%	0.14693	0.954
PD53347c	261	0.999	19.701	7.548%	4.06	4.933%	0.01698	0.999
PD53348a	173	0.987	33.44	19.329%	7.743	16.191%	0.07855	0.982
PD53349d	157	0.971	45.555	29.016%	8.679	23.934%	0.09513	0.953
PD53349e	134	0.934	51.816	38.669%	11.018	37.142%	0.16147	0.889
PD53350d	190	0.977	58.262	30.664%	11.877	22.155%	0.12396	0.969
PD53350e	187	0.976	53.769	28.753%	11.627	22.447%	0.09461	0.968
PD53351a	369	0.985	79.641	21.583%	16.876	17.495%	0.06244	0.978
PD53352d	138	0.98	40.096	29.055%	7.946	19.779%	0.10341	0.974
PD53352e	178	0.967	57.186	32.127%	12.638	26.284%	0.1167	0.955
PD53354a	102	0.984	29.396	28.82%	6.698	18.78%	0.13269	0.981
PD53355c	156	0.977	47.447	30.415%	9.793	21.746%	0.13468	0.971
PD53357c	124	0.972	42.201	34.033%	9.111	24.473%	0.17417	0.965
PD53357d	181	0.975	50.315	27.798%	10.697	22.596%	0.13494	0.966
PD53357e	162	0.98	43.557	26.887%	8.489	20.674%	0.11968	0.971
PD53358a	166	0.946	61.652	37.14%	13.527	32.616%	0.15011	0.917
PD53359c	186	0.975	45.729	24.585%	9.505	22.67%	0.08264	0.957
PD53361a	124	0.986	32.854	26.495%	6.664	17.488%	0.12191	0.983
PD53362a	107	0.973	39.31	36.738%	7.404	23.309%	0.19893	0.964
PD53364c	252	0.987	51.999	20.635%	11.3	16.169%	0.09107	0.982
PD53365a	230	0.97	68.099	29.608%	15.181	25.148%	0.15508	0.959
PD53368a	258	0.974	76.589	29.686%	15.566	23.184%	0.11633	0.963
PD53369a	118	0.945	46.45	39.364%	11.704	32.663%	0.20295	0.929
