Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.883	78.525	52.35%	20.038	47.256%	0.27666	0.84
PD53332a	244	0.98	54.154	22.194%	12.541	19.894%	0.06417	0.971
PD53332c	362	0.983	66.413	18.346%	20.932	19.281%	0.04541	0.979
PD53333a	234	0.936	95.198	40.683%	21.628	36.037%	0.18584	0.908
PD53333c	209	0.963	67.891	32.484%	16.547	27.651%	0.1269	0.95
PD53333d	228	0.97	67.987	29.819%	14.999	24.351%	0.13427	0.958
PD53333e	197	0.952	64.485	32.734%	16.078	30.499%	0.1478	0.932
PD53343a	142	0.959	42.436	29.885%	11.4	28.464%	0.098	0.945
PD53343c	171	0.975	45.972	26.884%	10.307	22.529%	0.09969	0.964
PD53343d	226	0.983	59.928	26.517%	13.975	20.26%	0.08205	0.98
PD53343e	268	0.97	81.841	30.538%	26.314	29.245%	0.1147	0.969
PD53343f	177	0.972	53.895	30.449%	12.256	24.013%	0.10171	0.963
PD53343g	180	0.978	43.242	24.023%	10.079	20.765%	0.07298	0.97
PD53347a	299	0.98	64.193	21.469%	17.743	20.958%	0.05059	0.973
PD53349a	173	0.962	55.493	32.077%	11.698	27.293%	0.10808	0.942
PD53349c	189	0.966	55.329	29.275%	11.486	25.924%	0.13638	0.945
PD53350a	241	0.962	69.627	28.891%	17.467	27.88%	0.08349	0.945
PD53350c	295	0.976	78.369	26.566%	17.333	22.579%	0.09376	0.967
PD53352a	174	0.951	62.941	36.173%	14.767	32.057%	0.13717	0.932
PD53352c	173	0.961	62.934	36.378%	13.411	28.418%	0.14268	0.946
PD53355a	193	0.91	80.9	41.917%	21.648	41.531%	0.17016	0.871
PD53357a	182	0.95	72.029	39.576%	15.525	31.664%	0.15629	0.93
PD53359a	151	0.929	65.303	43.247%	15.949	37.131%	0.23696	0.903
PD53364a	260	0.954	87.328	33.588%	19.943	30.127%	0.1138	0.931
