Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.924	62.483	41.655%	16.805	39.632%	0.18567	0.902
PD53332a	244	0.979	57.717	23.655%	12.875	20.424%	0.07015	0.969
PD53332c	362	0.995	40.098	11.077%	11.37	10.473%	0.0268	0.994
PD53333a	234	0.984	50.191	21.449%	10.722	17.865%	0.06827	0.976
PD53333c	209	0.992	37.293	17.844%	8.446	14.114%	0.04869	0.991
PD53333d	228	0.994	32.971	14.461%	7.105	11.535%	0.05307	0.991
PD53333e	197	0.992	30.487	15.476%	6.514	12.357%	0.0448	0.989
PD53343a	142	0.987	28.572	20.121%	6.551	16.357%	0.07144	0.983
PD53343c	171	0.982	38.277	22.384%	8.581	18.757%	0.0885	0.975
PD53343d	226	0.995	32.768	14.499%	7.243	10.5%	0.03857	0.993
PD53343e	268	0.998	29.441	10.985%	6.108	6.788%	0.03743	0.998
PD53343f	177	0.98	45.631	25.78%	10.211	20.006%	0.08119	0.974
PD53343g	180	0.991	31.703	17.613%	6.496	13.383%	0.06038	0.987
PD53347a	299	0.999	14.477	4.842%	3.2	3.78%	0.00575	0.999
PD53349a	173	0.967	53.925	31.171%	10.978	25.613%	0.10821	0.949
PD53349c	189	0.98	46.0	24.339%	8.923	20.14%	0.09203	0.967
PD53350a	241	0.991	40.093	16.636%	8.577	13.69%	0.04211	0.986
PD53350c	295	0.991	48.072	16.296%	10.13	13.196%	0.04616	0.988
PD53352a	174	0.991	32.67	18.776%	6.317	13.713%	0.05709	0.987
PD53352c	173	0.987	36.684	21.205%	7.616	16.139%	0.07409	0.982
PD53355a	193	0.973	52.443	27.173%	12.277	23.553%	0.08654	0.962
PD53357a	182	0.983	42.5	23.352%	9.139	18.639%	0.07477	0.977
PD53359a	151	0.975	42.229	27.966%	9.961	23.19%	0.09925	0.968
PD53364a	260	0.991	42.977	16.53%	9.015	13.619%	0.041	0.987
