Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.654	102.087	88.006%	26.166	75.979%	0.60739	0.507
PD53332d	162	0.882	97.581	60.235%	21.443	48.044%	0.3296	0.84
PD53332e	90	0.531	103.162	114.624%	31.481	84.744%	1.01244	0.427
PD53333f	203	0.817	155.2	76.453%	31.451	57.643%	0.45216	0.73
PD53334a	135	0.721	105.476	78.13%	26.712	69.411%	0.53595	0.596
PD53337c	85	0.614	78.864	92.781%	21.141	79.285%	0.68972	0.464
PD53338a	190	0.845	114.333	60.175%	24.609	53.752%	0.32674	0.747
PD53342a	167	0.61	166.854	99.913%	41.924	79.642%	0.70024	0.459
PD53343h	85	0.662	73.706	86.713%	21.838	75.036%	0.69556	0.563
PD53343i	105	0.733	86.184	82.08%	21.467	68.055%	0.54563	0.631
PD53345a	173	0.809	133.976	77.443%	31.612	59.709%	0.48525	0.752
PD53347c	261	0.574	279.726	107.175%	68.032	82.653%	0.83308	0.406
PD53348a	173	0.661	151.067	87.322%	36.379	76.071%	0.65832	0.491
PD53349d	157	0.888	83.121	52.943%	16.747	46.182%	0.29335	0.811
PD53349e	134	0.821	87.733	65.472%	17.566	59.215%	0.39936	0.683
PD53350d	190	0.814	145.004	76.318%	31.264	58.318%	0.5034	0.738
PD53350e	187	0.829	124.949	66.818%	29.051	56.086%	0.38951	0.758
PD53351a	369	0.895	177.828	48.192%	43.497	45.092%	0.20136	0.848
PD53352d	138	0.779	112.849	81.775%	25.242	62.831%	0.49474	0.693
PD53352e	178	0.808	128.135	71.986%	28.363	58.987%	0.39391	0.716
PD53354a	102	0.53	122.618	120.214%	30.4	85.237%	1.00304	0.376
PD53355c	156	0.805	113.654	72.855%	26.826	59.569%	0.41709	0.731
PD53357c	124	0.853	89.239	71.967%	20.053	53.864%	0.41417	0.815
PD53357d	181	0.894	100.743	55.659%	21.449	45.309%	0.32551	0.846
PD53357e	162	0.907	75.937	46.875%	17.406	42.391%	0.2471	0.861
PD53358a	166	0.656	134.583	81.074%	32.502	78.369%	0.49705	0.445
PD53359c	186	0.756	139.311	74.898%	28.755	68.581%	0.52881	0.574
PD53361a	124	0.7	103.973	83.849%	27.211	71.41%	0.57533	0.588
PD53362a	107	0.818	77.893	72.797%	18.487	58.2%	0.45456	0.758
PD53364c	252	0.876	142.123	56.398%	34.334	49.129%	0.2752	0.832
PD53365a	230	0.903	120.43	52.361%	26.313	43.589%	0.2848	0.862
PD53368a	258	0.909	124.332	48.191%	28.52	42.477%	0.2368	0.869
PD53369a	118	0.659	107.864	91.41%	27.032	75.439%	0.61242	0.521
