Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.879	80.061	53.374%	20.436	48.195%	0.27249	0.834
PD53332a	244	0.98	54.26	22.238%	12.596	19.981%	0.06344	0.971
PD53332c	362	0.984	63.603	17.57%	20.479	18.864%	0.04216	0.98
PD53333a	234	0.945	89.985	38.455%	20.137	33.552%	0.15739	0.92
PD53333c	209	0.971	54.634	26.141%	14.61	24.415%	0.1006	0.962
PD53333d	228	0.975	60.897	26.709%	13.674	22.2%	0.1178	0.965
PD53333e	197	0.962	57.881	29.381%	14.488	27.483%	0.11989	0.947
PD53343a	142	0.934	59.572	41.952%	14.351	35.833%	0.16611	0.91
PD53343c	171	0.955	56.274	32.909%	13.599	29.725%	0.14856	0.937
PD53343d	226	0.944	93.264	41.267%	24.553	35.595%	0.15535	0.933
PD53343e	268	0.925	127.221	47.471%	38.732	43.046%	0.20315	0.921
PD53343f	177	0.955	67.574	38.177%	16.06	31.466%	0.13634	0.943
PD53343g	180	0.954	60.475	33.597%	14.623	30.127%	0.12829	0.936
PD53347a	299	0.954	109.332	36.566%	25.48	30.098%	0.11511	0.938
PD53349a	173	0.962	56.401	32.602%	11.654	27.191%	0.10939	0.943
PD53349c	189	0.967	55.946	29.601%	11.357	25.633%	0.13419	0.946
PD53350a	241	0.838	127.426	52.874%	34.827	55.59%	0.2281	0.761
PD53350c	295	0.874	138.792	47.048%	37.532	48.892%	0.21674	0.814
PD53352a	174	0.955	60.707	34.889%	13.874	30.118%	0.12592	0.936
PD53352c	173	0.956	68.589	39.647%	13.878	29.408%	0.15012	0.939
PD53355a	193	0.835	92.163	47.753%	29.002	55.639%	0.26404	0.763
PD53357a	182	0.946	72.213	39.677%	16.34	33.326%	0.15733	0.925
PD53359a	151	0.92	65.273	43.227%	16.936	39.429%	0.26364	0.89
PD53364a	260	0.951	83.474	32.105%	20.43	30.863%	0.11899	0.927
