Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.487	152.804	101.869%	39.659	93.529%	0.94344	0.251
PD53332a	244	0.673	212.935	87.268%	48.764	77.354%	0.64853	0.501
PD53332c	362	0.566	330.395	91.269%	92.258	84.981%	0.71648	0.389
PD53333a	234	0.915	111.921	47.829%	24.219	40.354%	0.26552	0.873
PD53333c	209	0.929	99.404	47.562%	23.271	38.888%	0.20796	0.91
PD53333d	228	0.937	108.779	47.71%	22.047	35.793%	0.22466	0.914
PD53333e	197	0.916	93.979	47.705%	21.276	40.359%	0.24288	0.881
PD53343a	142	0.912	72.655	51.165%	16.841	42.05%	0.25127	0.882
PD53343c	171	0.937	76.592	44.791%	16.326	35.686%	0.23682	0.912
PD53343d	226	0.929	109.765	48.569%	28.048	40.662%	0.2317	0.92
PD53343e	268	0.917	146.873	54.803%	41.268	45.865%	0.26132	0.919
PD53343f	177	0.937	82.588	46.66%	19.033	37.291%	0.22136	0.923
PD53343g	180	0.933	78.33	43.517%	17.784	36.639%	0.19625	0.908
PD53347a	299	0.626	283.271	94.739%	68.048	80.38%	0.66505	0.458
PD53349a	173	0.949	63.726	36.836%	13.542	31.596%	0.15733	0.922
PD53349c	189	0.966	56.107	29.686%	11.57	26.114%	0.13741	0.944
PD53350a	241	0.816	136.575	56.67%	36.573	58.377%	0.27134	0.722
PD53350c	295	0.857	150.326	50.958%	39.659	51.662%	0.27692	0.786
PD53352a	174	0.897	83.524	48.002%	20.376	44.233%	0.22678	0.85
PD53352c	173	0.911	81.011	46.827%	19.69	41.724%	0.20509	0.875
PD53355a	193	0.82	98.006	50.78%	29.929	57.418%	0.29248	0.736
PD53357a	182	0.931	73.773	40.535%	18.274	37.271%	0.16284	0.903
PD53359a	151	0.905	77.691	51.451%	18.64	43.396%	0.30796	0.874
PD53364a	260	0.938	99.512	38.274%	23.052	34.824%	0.1488	0.907
