Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.877	81.196	54.131%	20.708	48.836%	0.27533	0.832
PD53332a	244	0.979	55.138	22.598%	12.825	20.344%	0.0665	0.969
PD53332c	362	0.984	65.944	18.217%	20.905	19.256%	0.04513	0.98
PD53333a	234	0.929	98.953	42.288%	22.315	37.181%	0.20866	0.895
PD53333c	209	0.937	83.228	39.822%	21.455	35.853%	0.16932	0.918
PD53333d	228	0.948	86.222	37.817%	19.626	31.863%	0.16857	0.928
PD53333e	197	0.928	84.046	42.663%	19.631	37.239%	0.1951	0.897
PD53343a	142	0.937	58.649	41.302%	14.07	35.131%	0.15855	0.915
PD53343c	171	0.958	53.667	31.384%	13.216	28.888%	0.14151	0.94
PD53343d	226	0.948	91.144	40.329%	23.533	34.117%	0.15155	0.938
PD53343e	268	0.928	125.195	46.715%	37.737	41.94%	0.1987	0.924
PD53343f	177	0.953	63.211	35.712%	15.986	31.321%	0.14799	0.94
PD53343g	180	0.956	60.572	33.651%	14.244	29.346%	0.14305	0.938
PD53347a	299	0.635	272.137	91.016%	68.593	81.024%	0.58546	0.485
PD53349a	173	0.96	53.631	31.001%	12.096	28.222%	0.11492	0.939
PD53349c	189	0.966	56.164	29.716%	11.574	26.123%	0.13706	0.945
PD53350a	241	0.828	124.62	51.71%	36.062	57.561%	0.22929	0.747
PD53350c	295	0.867	138.931	47.095%	38.804	50.549%	0.22445	0.803
PD53352a	174	0.907	77.548	44.568%	19.425	42.169%	0.1979	0.865
PD53352c	173	0.923	76.822	44.406%	18.177	38.518%	0.18068	0.891
PD53355a	193	0.824	97.151	50.337%	29.733	57.042%	0.28289	0.745
PD53357a	182	0.935	68.678	37.735%	17.497	35.686%	0.15348	0.908
PD53359a	151	0.914	71.089	47.079%	17.555	40.87%	0.28628	0.884
PD53364a	260	0.939	97.894	37.652%	22.807	34.453%	0.14541	0.909
