Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.969	44.084	38.003%	8.54	24.798%	0.2678	0.959
PD53331a	169	0.902	81.36	48.142%	22.847	44.39%	0.24221	0.876
PD53332d	162	0.963	63.889	39.438%	12.791	28.659%	0.18154	0.953
PD53332e	90	0.945	47.321	52.579%	13.379	36.015%	0.33369	0.94
PD53333f	203	0.926	95.862	47.223%	21.026	38.536%	0.2635	0.896
PD53334a	135	0.962	50.765	37.604%	10.614	27.58%	0.22804	0.95
PD53337a	76	0.903	44.313	58.307%	11.907	43.022%	0.36392	0.884
PD53337c	85	0.957	34.899	41.058%	7.747	29.054%	0.21163	0.945
PD53338a	190	0.94	79.433	41.807%	15.8	34.511%	0.1665	0.906
PD53339a	126	0.921	61.642	48.922%	14.098	40.396%	0.26318	0.896
PD53341a	177	0.961	59.627	33.688%	12.779	27.933%	0.12056	0.943
PD53342a	167	0.946	76.216	45.638%	17.778	33.773%	0.21898	0.933
PD53343h	85	0.965	34.941	41.107%	8.426	28.952%	0.18231	0.96
PD53343i	105	0.966	37.7	35.905%	8.633	27.368%	0.16313	0.957
PD53345a	173	0.913	91.26	52.751%	22.049	41.646%	0.2555	0.89
PD53346a	165	0.866	117.876	71.44%	27.821	53.711%	0.42861	0.853
PD53347c	261	0.994	39.294	15.055%	9.684	11.765%	0.04164	0.993
PD53348a	173	0.881	96.575	55.824%	22.629	47.319%	0.32963	0.833
PD53349d	157	0.95	57.815	36.825%	12.04	33.202%	0.17677	0.923
PD53349e	134	0.931	61.988	46.26%	11.97	40.351%	0.23576	0.893
PD53350d	190	0.969	62.441	32.864%	13.489	25.161%	0.13164	0.959
PD53350e	187	0.965	57.525	30.762%	13.725	26.497%	0.10357	0.953
PD53351a	369	0.976	97.017	26.292%	21.799	22.598%	0.09343	0.966
PD53352d	138	0.959	53.293	38.618%	11.499	28.623%	0.15283	0.946
PD53352e	178	0.942	67.178	37.74%	16.419	34.147%	0.16786	0.92
PD53353a	105	0.884	61.9	58.952%	12.616	46.855%	0.34831	0.825
PD53354a	102	0.977	32.299	31.666%	7.625	21.379%	0.15184	0.972
PD53355c	156	0.958	57.427	36.812%	13.277	29.483%	0.16704	0.945
PD53357c	124	0.967	46.944	37.858%	10.336	27.763%	0.19493	0.961
PD53357d	181	0.972	46.172	25.509%	11.058	23.359%	0.13399	0.96
PD53357e	162	0.972	45.469	28.067%	9.749	23.743%	0.14595	0.958
PD53358a	166	0.905	90.535	54.539%	17.834	43.002%	0.27356	0.857
PD53359c	186	0.841	108.87	58.532%	24.86	59.291%	0.29406	0.746
PD53361a	124	0.98	40.248	32.458%	8.259	21.674%	0.14762	0.976
PD53362a	107	0.952	54.013	50.479%	10.188	32.073%	0.25313	0.94
PD53363a	94	0.935	43.189	45.946%	9.216	35.928%	0.20785	0.91
PD53364c	252	0.969	81.538	32.356%	17.527	25.08%	0.11278	0.958
PD53365a	230	0.972	61.149	26.587%	14.078	23.321%	0.12147	0.96
PD53366a	77	0.882	49.015	63.656%	10.837	47.297%	0.36021	0.843
PD53367a	134	0.901	64.963	48.48%	16.083	43.515%	0.23082	0.861
PD53368a	258	0.965	86.886	33.677%	18.144	27.023%	0.13698	0.95
PD53369a	118	0.918	57.109	48.397%	14.2	39.628%	0.26791	0.893
