Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.953	53.589	46.197%	10.488	30.454%	0.33335	0.938
PD53331a	169	0.813	111.276	65.844%	31.17	60.561%	0.47719	0.757
PD53332d	162	0.948	61.0	37.654%	14.584	32.676%	0.18341	0.929
PD53332e	90	0.9	61.02	67.8%	17.504	47.119%	0.48107	0.891
PD53333f	203	0.878	112.168	55.255%	26.157	47.94%	0.27427	0.824
PD53334a	135	0.941	64.2	47.556%	13.173	34.23%	0.27572	0.921
PD53337a	76	0.848	54.635	71.888%	14.673	53.016%	0.49301	0.817
PD53337c	85	0.908	49.68	58.447%	11.227	42.105%	0.35497	0.881
PD53338a	190	0.903	88.581	46.622%	19.715	43.063%	0.21849	0.843
PD53339a	126	0.724	104.524	82.956%	24.104	69.066%	0.66045	0.591
PD53341a	177	0.902	85.258	48.168%	19.934	43.572%	0.25679	0.855
PD53342a	167	0.95	68.354	40.931%	16.521	31.385%	0.20193	0.937
PD53343h	85	0.92	50.618	59.551%	12.238	42.05%	0.31972	0.909
PD53343i	105	0.93	57.499	54.761%	12.06	38.233%	0.28899	0.912
PD53345a	173	0.871	102.865	59.46%	26.216	49.517%	0.29397	0.833
PD53346a	165	0.792	135.144	81.905%	32.092	61.956%	0.57118	0.733
PD53347c	261	0.631	248.863	95.35%	65.001	78.971%	0.61218	0.504
PD53348a	173	0.883	87.774	50.736%	22.525	47.101%	0.27861	0.837
PD53349d	157	0.942	63.022	40.141%	12.586	34.708%	0.16848	0.908
PD53349e	134	0.874	73.237	54.654%	15.442	52.055%	0.29933	0.79
PD53350d	190	0.878	114.468	60.246%	25.676	47.894%	0.32129	0.83
PD53350e	187	0.888	97.224	51.991%	23.811	45.969%	0.23034	0.843
PD53351a	369	0.914	150.349	40.745%	39.205	40.643%	0.16502	0.875
PD53352d	138	0.862	90.1	65.29%	20.395	50.766%	0.31436	0.812
PD53352e	178	0.869	96.84	54.404%	23.845	49.591%	0.274	0.811
PD53353a	105	0.807	75.6	72.0%	15.93	59.163%	0.4952	0.7
PD53354a	102	0.965	45.504	44.612%	10.139	28.428%	0.24119	0.96
PD53355c	156	0.869	87.474	56.073%	22.347	49.623%	0.27901	0.82
PD53357c	124	0.93	63.47	51.185%	14.27	38.33%	0.25405	0.913
PD53357d	181	0.957	60.843	33.615%	13.728	28.999%	0.17899	0.938
PD53357e	162	0.96	52.4	32.346%	11.595	28.239%	0.15066	0.94
PD53358a	166	0.9	88.526	53.329%	18.993	45.796%	0.25899	0.854
PD53359c	186	0.823	116.116	62.428%	26.339	62.819%	0.30949	0.719
PD53361a	124	0.962	50.33	40.589%	11.096	29.119%	0.20967	0.955
PD53362a	107	0.864	72.651	67.898%	16.171	50.909%	0.40358	0.821
PD53363a	94	0.833	61.69	65.628%	14.198	55.35%	0.32822	0.758
PD53364c	252	0.917	117.979	46.817%	28.222	40.383%	0.16712	0.886
PD53365a	230	0.946	89.954	39.11%	19.648	32.548%	0.20271	0.923
PD53366a	77	0.839	55.078	71.53%	12.586	54.93%	0.44044	0.785
PD53367a	134	0.803	90.579	67.596%	22.281	60.285%	0.48956	0.719
PD53368a	258	0.958	91.945	35.638%	19.501	29.045%	0.15119	0.939
PD53369a	118	0.898	65.729	55.703%	15.852	44.239%	0.33557	0.866
