Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.969	44.59	38.44%	8.536	24.786%	0.27007	0.959
PD53331a	169	0.936	64.059	37.905%	18.178	35.319%	0.17757	0.917
PD53332d	162	0.971	56.195	34.688%	11.286	25.287%	0.17677	0.962
PD53332e	90	0.958	45.039	50.043%	11.519	31.008%	0.30927	0.954
PD53333f	203	0.951	74.972	36.932%	17.029	31.21%	0.17669	0.93
PD53334a	135	0.969	44.262	32.787%	9.494	24.67%	0.19485	0.958
PD53337a	76	0.928	40.891	53.804%	10.325	37.306%	0.3485	0.914
PD53337c	85	0.971	30.307	35.655%	6.358	23.844%	0.19868	0.964
PD53338a	190	0.941	76.65	40.342%	15.497	33.849%	0.1596	0.907
PD53339a	126	0.935	52.26	41.476%	12.514	35.857%	0.20843	0.91
PD53341a	177	0.967	58.45	33.023%	11.942	26.103%	0.12547	0.952
PD53342a	167	0.951	74.321	44.504%	17.297	32.859%	0.22436	0.942
PD53343h	85	0.974	33.522	39.438%	7.511	25.808%	0.1758	0.972
PD53343i	105	0.964	38.896	37.044%	8.82	27.961%	0.16376	0.956
PD53345a	173	0.904	101.042	58.406%	23.383	44.166%	0.30786	0.879
PD53346a	165	0.883	104.418	63.284%	25.8	49.809%	0.37304	0.864
PD53347c	261	0.995	38.559	14.774%	9.371	11.385%	0.03385	0.993
PD53348a	173	0.908	83.124	48.049%	20.007	41.836%	0.28007	0.872
PD53349d	157	0.947	59.279	37.757%	11.874	32.744%	0.18422	0.913
PD53349e	134	0.935	58.799	43.88%	11.19	37.721%	0.23255	0.893
PD53350d	190	0.965	70.026	36.856%	14.62	27.271%	0.15819	0.955
PD53350e	187	0.962	65.935	35.259%	14.73	28.438%	0.13044	0.951
PD53351a	369	0.981	89.233	24.182%	18.691	19.376%	0.07788	0.973
PD53352d	138	0.964	52.005	37.685%	10.856	27.022%	0.16315	0.952
PD53352e	178	0.973	50.423	28.328%	11.038	22.956%	0.0975	0.963
PD53353a	105	0.888	60.51	57.629%	12.358	45.896%	0.32547	0.832
PD53354a	102	0.973	33.952	33.286%	8.23	23.076%	0.17176	0.968
PD53355c	156	0.951	62.841	40.283%	14.628	32.483%	0.18521	0.938
PD53357c	124	0.969	47.206	38.069%	9.851	26.461%	0.19862	0.963
PD53357d	181	0.971	52.555	29.036%	11.647	24.603%	0.15205	0.96
PD53357e	162	0.972	47.553	29.354%	9.758	23.765%	0.14913	0.958
PD53358a	166	0.916	83.685	50.413%	16.733	40.347%	0.24842	0.871
PD53359c	186	0.913	74.597	40.106%	17.37	41.428%	0.17615	0.852
PD53361a	124	0.983	36.644	29.552%	7.526	19.751%	0.13146	0.979
PD53362a	107	0.963	46.263	43.236%	8.592	27.049%	0.23736	0.952
PD53363a	94	0.929	45.075	47.952%	9.573	37.319%	0.21717	0.9
PD53364c	252	0.957	94.079	37.333%	21.233	30.383%	0.15781	0.944
PD53365a	230	0.975	66.158	28.764%	14.166	23.467%	0.13373	0.965
PD53366a	77	0.899	45.325	58.864%	10.042	43.827%	0.35786	0.866
PD53367a	134	0.926	57.805	43.138%	13.978	37.82%	0.19678	0.896
PD53368a	258	0.966	84.303	32.676%	18.007	26.819%	0.12554	0.952
PD53369a	118	0.922	56.415	47.809%	13.873	38.716%	0.25811	0.898
