Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.969	44.237	38.135%	8.53	24.769%	0.26642	0.959
PD53331a	169	0.983	42.6	25.207%	9.88	19.196%	0.09363	0.978
PD53332d	162	0.973	52.102	32.162%	10.563	23.667%	0.14876	0.964
PD53332e	90	0.97	40.466	44.962%	9.981	26.868%	0.2723	0.967
PD53333f	203	0.953	72.397	35.664%	16.649	30.514%	0.16711	0.934
PD53334a	135	0.967	46.263	34.269%	9.833	25.551%	0.2073	0.956
PD53337a	76	0.937	38.76	51.0%	9.665	34.921%	0.34493	0.925
PD53337c	85	0.977	26.869	31.611%	5.644	21.167%	0.1885	0.971
PD53338a	190	0.946	73.361	38.611%	14.901	32.548%	0.14014	0.915
PD53339a	126	0.957	48.181	38.239%	10.393	29.779%	0.17605	0.942
PD53341a	177	0.967	57.241	32.34%	11.94	26.099%	0.11005	0.953
PD53342a	167	0.942	80.774	48.368%	18.706	35.536%	0.23501	0.93
PD53343h	85	0.976	30.407	35.773%	6.882	23.647%	0.16493	0.972
PD53343i	105	0.962	40.891	38.944%	9.077	28.776%	0.17822	0.953
PD53345a	173	0.92	83.496	48.264%	20.979	39.625%	0.21748	0.897
PD53346a	165	0.89	101.289	61.387%	24.948	48.164%	0.35955	0.869
PD53347c	261	0.995	34.242	13.12%	8.805	10.697%	0.02802	0.994
PD53348a	173	0.941	67.787	39.183%	16.246	33.971%	0.19108	0.918
PD53349d	157	0.954	57.516	36.634%	11.402	31.443%	0.16952	0.928
PD53349e	134	0.941	53.712	40.084%	10.646	35.888%	0.20077	0.902
PD53350d	190	0.97	57.765	30.403%	13.214	24.649%	0.11124	0.96
PD53350e	187	0.966	57.485	30.741%	13.782	26.607%	0.10234	0.953
PD53351a	369	0.975	104.073	28.204%	22.186	23.0%	0.08554	0.966
PD53352d	138	0.966	49.85	36.123%	10.479	26.084%	0.15147	0.955
PD53352e	178	0.976	49.301	27.697%	10.693	22.239%	0.08623	0.967
PD53353a	105	0.891	58.762	55.964%	12.232	45.429%	0.31159	0.836
PD53354a	102	0.972	36.829	36.107%	8.608	24.136%	0.19353	0.966
PD53355c	156	0.949	61.045	39.131%	14.535	32.276%	0.17009	0.934
PD53357c	124	0.974	38.193	30.801%	8.723	23.431%	0.15058	0.966
PD53357d	181	0.97	51.242	28.31%	11.773	24.869%	0.14146	0.957
PD53357e	162	0.975	43.038	26.567%	9.152	22.289%	0.13369	0.963
PD53358a	166	0.913	78.11	47.054%	17.059	41.133%	0.22314	0.868
PD53359c	186	0.926	69.777	37.515%	15.925	37.981%	0.16882	0.872
PD53361a	124	0.985	34.521	27.84%	7.089	18.604%	0.12725	0.981
PD53362a	107	0.96	47.702	44.581%	8.972	28.245%	0.24245	0.947
PD53363a	94	0.935	42.331	45.033%	9.109	35.511%	0.19876	0.909
PD53364c	252	0.951	97.887	38.844%	22.565	32.288%	0.14524	0.935
PD53365a	230	0.975	61.219	26.617%	13.698	22.692%	0.12067	0.964
PD53366a	77	0.902	44.068	57.231%	9.974	43.53%	0.39228	0.871
PD53367a	134	0.938	53.46	39.896%	12.844	34.752%	0.17011	0.913
PD53368a	258	0.962	89.362	34.636%	19.295	28.738%	0.13708	0.949
PD53369a	118	0.929	52.89	44.822%	13.323	37.181%	0.2339	0.907
