Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.891	76.09	50.727%	19.531	46.061%	0.24921	0.85
PD53332a	244	0.979	55.759	22.852%	12.956	20.552%	0.0642	0.969
PD53332c	362	0.984	67.951	18.771%	20.442	18.83%	0.05382	0.979
PD53333a	234	0.977	56.021	23.941%	12.879	21.459%	0.08914	0.967
PD53333c	209	0.986	37.423	17.906%	10.898	18.211%	0.04496	0.983
PD53333d	228	0.992	35.564	15.598%	7.663	12.441%	0.04489	0.989
PD53333e	197	0.993	30.371	15.417%	6.378	12.099%	0.03723	0.99
PD53343a	142	0.961	38.835	27.349%	11.297	28.207%	0.0844	0.948
PD53343c	171	0.978	42.957	25.121%	9.78	21.377%	0.08621	0.97
PD53343d	226	0.99	39.873	17.643%	9.868	14.306%	0.04808	0.987
PD53343e	268	0.977	69.359	25.88%	21.672	24.086%	0.09184	0.974
PD53343f	177	0.978	42.63	24.085%	10.718	21.0%	0.07118	0.97
PD53343g	180	0.98	40.885	22.714%	9.846	20.285%	0.06865	0.972
PD53347a	299	0.998	26.412	8.833%	5.987	7.072%	0.01286	0.997
PD53349a	173	0.963	54.447	31.472%	11.665	27.216%	0.1125	0.944
PD53349c	189	0.966	55.641	29.44%	11.42	25.775%	0.13111	0.945
PD53350a	241	0.987	45.493	18.877%	10.002	15.965%	0.05549	0.981
PD53350c	295	0.99	54.704	18.544%	11.193	14.581%	0.05526	0.986
PD53352a	174	0.968	51.209	29.43%	11.604	25.19%	0.09995	0.954
PD53352c	173	0.968	54.82	31.688%	11.978	25.382%	0.11583	0.955
PD53355a	193	0.948	67.274	34.857%	16.667	31.975%	0.12132	0.926
PD53357a	182	0.957	66.681	36.638%	14.627	29.832%	0.14456	0.942
PD53359a	151	0.962	54.309	35.966%	12.45	28.985%	0.15199	0.951
PD53364a	260	0.978	65.077	25.03%	14.235	21.504%	0.06555	0.968
