Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.964	46.214	39.84%	9.173	26.636%	0.24674	0.952
PD53332d	162	0.957	65.531	40.451%	13.722	30.745%	0.1878	0.944
PD53332e	90	0.924	47.785	53.094%	14.974	40.309%	0.35652	0.915
PD53333f	203	0.945	76.863	37.864%	18.144	33.254%	0.20164	0.923
PD53334a	135	0.964	52.025	38.537%	10.307	26.783%	0.21967	0.952
PD53337c	85	0.93	41.464	48.781%	9.778	36.67%	0.30213	0.911
PD53338a	190	0.935	77.967	41.035%	16.248	35.49%	0.16496	0.898
PD53342a	167	0.952	68.379	40.946%	16.36	31.079%	0.15707	0.94
PD53343h	85	0.947	37.962	44.661%	10.08	34.635%	0.19498	0.938
PD53343i	105	0.962	36.547	34.807%	8.893	28.193%	0.14404	0.952
PD53345a	173	0.926	86.853	50.204%	20.708	39.113%	0.23463	0.907
PD53347c	261	0.989	43.376	16.619%	12.338	14.99%	0.03226	0.986
PD53348a	173	0.888	83.087	48.027%	22.181	46.382%	0.25027	0.843
PD53349d	157	0.945	65.066	41.443%	12.362	34.09%	0.18159	0.912
PD53349e	134	0.873	78.063	58.256%	15.784	53.208%	0.33989	0.794
PD53350d	190	0.964	66.891	35.206%	14.409	26.878%	0.15823	0.952
PD53350e	187	0.964	57.508	30.753%	13.932	26.897%	0.11578	0.951
PD53351a	369	0.937	136.001	36.857%	34.374	35.635%	0.14472	0.912
PD53352d	138	0.939	55.812	40.443%	13.874	34.534%	0.16982	0.918
PD53352e	178	0.963	59.313	33.322%	13.369	27.804%	0.11822	0.949
PD53354a	102	0.976	30.11	29.52%	7.769	21.783%	0.13018	0.971
PD53355c	156	0.944	66.847	42.851%	15.058	33.437%	0.18532	0.927
PD53357c	124	0.937	62.294	50.237%	13.703	36.807%	0.24684	0.922
PD53357d	181	0.969	52.415	28.959%	11.846	25.024%	0.15343	0.956
PD53357e	162	0.972	45.094	27.836%	9.72	23.672%	0.13695	0.958
PD53358a	166	0.892	86.633	52.189%	20.05	48.345%	0.24839	0.843
PD53359c	186	0.856	99.183	53.324%	23.351	55.692%	0.25608	0.767
PD53361a	124	0.978	39.346	31.731%	8.694	22.816%	0.14929	0.974
PD53362a	107	0.909	64.447	60.231%	13.428	42.273%	0.3331	0.882
PD53364c	252	0.932	113.767	45.146%	26.167	37.443%	0.15554	0.909
PD53365a	230	0.969	65.189	28.343%	14.966	24.792%	0.14014	0.956
PD53368a	258	0.964	87.518	33.922%	18.362	27.348%	0.13501	0.951
PD53369a	118	0.923	54.889	46.516%	13.765	38.414%	0.2395	0.9
