Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.978	35.872	30.924%	7.163	20.799%	0.1951	0.971
PD53332d	162	0.968	56.265	34.731%	11.658	26.12%	0.156	0.958
PD53332e	90	0.968	38.149	42.388%	10.158	27.344%	0.26609	0.965
PD53333f	203	0.949	78.849	38.842%	17.609	32.273%	0.16906	0.929
PD53334a	135	0.97	46.496	34.441%	9.439	24.527%	0.20024	0.959
PD53337c	85	0.964	32.559	38.305%	7.074	26.53%	0.23186	0.954
PD53338a	190	0.949	66.719	35.115%	14.517	31.709%	0.13999	0.92
PD53342a	167	0.951	69.953	41.888%	17.399	33.053%	0.18982	0.941
PD53343h	85	0.966	34.306	40.36%	7.889	27.107%	0.16958	0.96
PD53343i	105	0.964	40.672	38.735%	8.758	27.765%	0.17422	0.955
PD53345a	173	0.946	73.883	42.707%	17.376	32.82%	0.17795	0.931
PD53347c	261	0.997	28.124	10.775%	6.659	8.09%	0.01761	0.997
PD53348a	173	0.964	60.232	34.816%	13.535	28.303%	0.16155	0.954
PD53349d	157	0.956	52.821	33.644%	10.869	29.973%	0.13836	0.928
PD53349e	134	0.926	58.191	43.426%	11.788	39.737%	0.20688	0.877
PD53350d	190	0.974	55.158	29.031%	12.122	22.612%	0.10093	0.965
PD53350e	187	0.972	50.415	26.96%	12.248	23.646%	0.08007	0.962
PD53351a	369	0.989	70.371	19.071%	14.584	15.119%	0.05009	0.983
PD53352d	138	0.974	44.298	32.1%	9.091	22.629%	0.10937	0.966
PD53352e	178	0.973	52.706	29.61%	11.216	23.326%	0.10602	0.963
PD53354a	102	0.972	37.097	36.37%	9.037	25.338%	0.18435	0.967
PD53355c	156	0.972	48.023	30.784%	10.685	23.727%	0.14037	0.962
PD53357c	124	0.966	47.525	38.327%	10.25	27.532%	0.19756	0.958
PD53357d	181	0.974	47.928	26.48%	10.857	22.934%	0.13218	0.962
PD53357e	162	0.975	43.118	26.616%	9.165	22.32%	0.12882	0.963
PD53358a	166	0.928	71.128	42.848%	15.454	37.263%	0.18122	0.891
PD53359c	186	0.951	62.183	33.432%	12.998	31.0%	0.13945	0.916
PD53361a	124	0.984	34.996	28.223%	7.205	18.908%	0.12296	0.981
PD53362a	107	0.957	50.948	47.615%	9.561	30.099%	0.2445	0.945
PD53364c	252	0.972	74.883	29.715%	16.783	24.015%	0.1258	0.962
PD53365a	230	0.971	68.523	29.793%	15.024	24.888%	0.14714	0.959
PD53368a	258	0.971	76.167	29.522%	16.11	23.994%	0.10631	0.959
PD53369a	118	0.944	44.531	37.738%	11.832	33.02%	0.21887	0.927
