Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.899	65.793	43.862%	18.687	44.07%	0.20299	0.861
PD53332a	244	0.981	53.999	22.131%	12.186	19.331%	0.06103	0.973
PD53332c	362	0.993	47.118	13.016%	13.231	12.187%	0.03265	0.992
PD53333a	234	0.979	57.196	24.443%	12.227	20.373%	0.08245	0.969
PD53333c	209	0.987	44.026	21.065%	10.46	17.48%	0.05823	0.984
PD53333d	228	0.992	33.867	14.854%	7.782	12.634%	0.04418	0.989
PD53333e	197	0.994	28.761	14.599%	6.011	11.403%	0.03608	0.991
PD53343a	142	0.985	35.771	25.191%	7.753	19.358%	0.10051	0.981
PD53343c	171	0.978	45.666	26.705%	9.668	21.133%	0.11736	0.97
PD53343d	226	0.994	33.379	14.769%	7.853	11.385%	0.03747	0.992
PD53343e	268	0.997	31.471	11.743%	7.432	8.26%	0.03541	0.997
PD53343f	177	0.977	47.675	26.935%	11.022	21.595%	0.08332	0.969
PD53343g	180	0.986	39.608	22.004%	8.213	16.921%	0.0691	0.981
PD53347a	299	0.999	17.304	5.787%	3.663	4.327%	0.00725	0.999
PD53349a	173	0.963	57.115	33.014%	11.637	27.151%	0.11684	0.943
PD53349c	189	0.971	51.697	27.353%	10.558	23.83%	0.12549	0.954
PD53350a	241	0.988	47.724	19.802%	9.96	15.898%	0.06081	0.983
PD53350c	295	0.989	57.105	19.358%	12.01	15.645%	0.06832	0.984
PD53352a	174	0.987	37.627	21.625%	7.439	16.149%	0.06179	0.981
PD53352c	173	0.986	38.773	22.412%	8.035	17.027%	0.07365	0.98
PD53355a	193	0.963	58.671	30.399%	14.263	27.363%	0.10145	0.948
PD53357a	182	0.957	67.051	36.841%	15.026	30.646%	0.15314	0.944
PD53359a	151	0.961	54.16	35.868%	12.698	29.562%	0.15338	0.952
PD53364a	260	0.988	48.108	18.503%	10.096	15.252%	0.04271	0.983
