Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.959	50.606	43.626%	9.815	28.5%	0.30917	0.946
PD53331a	169	0.815	102.032	60.374%	31.222	60.662%	0.4355	0.761
PD53332d	162	0.956	64.675	39.923%	13.872	31.081%	0.19248	0.942
PD53332e	90	0.912	54.293	60.326%	16.054	43.216%	0.43208	0.902
PD53333f	203	0.932	89.505	44.091%	19.956	36.575%	0.24801	0.904
PD53334a	135	0.946	63.127	46.761%	12.712	33.032%	0.27335	0.928
PD53337a	76	0.863	51.118	67.261%	14.001	50.588%	0.42519	0.835
PD53337c	85	0.929	42.214	49.664%	9.895	37.109%	0.26166	0.909
PD53338a	190	0.914	90.012	47.375%	18.607	40.643%	0.20236	0.862
PD53339a	126	0.758	101.815	80.806%	22.852	65.479%	0.66229	0.648
PD53341a	177	0.938	71.277	40.269%	15.888	34.728%	0.19683	0.909
PD53342a	167	0.951	71.415	42.763%	16.839	31.989%	0.20201	0.94
PD53343h	85	0.943	41.326	48.619%	10.652	36.601%	0.23036	0.936
PD53343i	105	0.954	44.076	41.977%	9.981	31.642%	0.20415	0.943
PD53345a	173	0.875	102.056	58.992%	25.94	48.996%	0.30641	0.838
PD53346a	165	0.801	131.555	79.73%	31.408	60.636%	0.56441	0.745
PD53347c	261	0.87	144.011	55.177%	40.565	49.283%	0.24804	0.832
PD53348a	173	0.883	88.721	51.284%	22.518	47.087%	0.28016	0.835
PD53349d	157	0.948	61.041	38.88%	12.109	33.392%	0.17483	0.919
PD53349e	134	0.88	72.557	54.147%	15.099	50.899%	0.30043	0.803
PD53350d	190	0.911	105.286	55.414%	22.443	41.864%	0.26335	0.88
PD53350e	187	0.915	92.425	49.425%	21.138	40.809%	0.1992	0.883
PD53351a	369	0.921	153.653	41.64%	37.9	39.29%	0.17044	0.887
PD53352d	138	0.927	67.278	48.752%	15.056	37.476%	0.20259	0.903
PD53352e	178	0.939	64.576	36.279%	16.623	34.571%	0.15437	0.913
PD53353a	105	0.812	75.585	71.986%	15.75	58.494%	0.49496	0.708
PD53354a	102	0.977	32.967	32.321%	7.666	21.494%	0.14957	0.973
PD53355c	156	0.872	89.23	57.199%	22.174	49.239%	0.29313	0.825
PD53357c	124	0.946	57.001	45.969%	12.565	33.751%	0.21263	0.933
PD53357d	181	0.965	52.706	29.119%	12.443	26.285%	0.15356	0.949
PD53357e	162	0.973	46.178	28.505%	9.521	23.187%	0.13365	0.959
PD53358a	166	0.898	88.242	53.158%	19.227	46.36%	0.26509	0.85
PD53359c	186	0.818	119.761	64.388%	26.268	62.649%	0.33389	0.705
PD53361a	124	0.965	49.184	39.665%	10.644	27.933%	0.20175	0.958
PD53362a	107	0.916	61.838	57.793%	12.93	40.705%	0.31874	0.891
PD53363a	94	0.833	62.079	66.041%	14.182	55.287%	0.33271	0.759
PD53364c	252	0.917	115.062	45.66%	28.081	40.181%	0.16378	0.885
PD53365a	230	0.952	84.988	36.951%	18.593	30.801%	0.18375	0.93
PD53366a	77	0.852	51.903	67.406%	12.055	52.612%	0.38627	0.802
PD53367a	134	0.849	76.576	57.146%	19.513	52.796%	0.36149	0.785
PD53368a	258	0.958	94.114	36.478%	19.6	29.192%	0.1552	0.941
PD53369a	118	0.899	65.862	55.815%	15.702	43.82%	0.34326	0.868
