Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.921	60.041	40.027%	16.54	39.007%	0.15785	0.892
PD53332a	244	0.983	49.039	20.098%	11.495	18.235%	0.05963	0.976
PD53332c	362	0.977	79.161	21.868%	24.351	22.43%	0.06214	0.971
PD53333a	234	0.976	60.202	25.727%	13.065	21.769%	0.08913	0.965
PD53333c	209	0.992	36.199	17.32%	8.356	13.964%	0.04694	0.991
PD53333d	228	0.994	31.048	13.618%	6.721	10.912%	0.03968	0.992
PD53333e	197	0.994	28.382	14.407%	5.917	11.224%	0.03498	0.991
PD53343a	142	0.98	37.041	26.085%	8.246	20.589%	0.09634	0.974
PD53343c	171	0.984	39.351	23.012%	8.271	18.079%	0.10165	0.977
PD53343d	226	0.993	35.65	15.774%	8.083	11.718%	0.04006	0.991
PD53343e	268	0.996	41.157	15.357%	9.977	11.088%	0.05031	0.996
PD53343f	177	0.98	43.635	24.653%	10.118	19.824%	0.07611	0.974
PD53343g	180	0.985	40.271	22.373%	8.534	17.582%	0.07659	0.979
PD53347a	299	0.999	16.498	5.518%	3.611	4.265%	0.00715	0.999
PD53349a	173	0.968	51.892	29.995%	10.746	25.072%	0.11069	0.952
PD53349c	189	0.972	51.584	27.293%	10.44	23.564%	0.12188	0.956
PD53350a	241	0.989	45.531	18.893%	9.348	14.921%	0.05588	0.984
PD53350c	295	0.99	55.495	18.812%	11.362	14.801%	0.06572	0.987
PD53352a	174	0.992	32.148	18.476%	5.955	12.927%	0.04946	0.988
PD53352c	173	0.988	35.448	20.49%	7.364	15.605%	0.06928	0.983
PD53355a	193	0.966	58.766	30.449%	13.623	26.135%	0.09334	0.952
PD53357a	182	0.97	57.672	31.688%	12.516	25.527%	0.1171	0.96
PD53359a	151	0.964	52.403	34.704%	12.411	28.894%	0.148	0.956
PD53364a	260	0.987	49.925	19.202%	10.972	16.575%	0.05043	0.981
