Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.885	78.293	52.195%	20.026	47.228%	0.27068	0.843
PD53332a	244	0.979	54.322	22.263%	12.779	20.271%	0.06568	0.97
PD53332c	362	0.985	65.932	18.213%	19.725	18.169%	0.04906	0.981
PD53333a	234	0.974	59.369	25.371%	13.767	22.939%	0.08486	0.961
PD53333c	209	0.988	36.954	17.681%	10.201	17.047%	0.04146	0.985
PD53333d	228	0.994	32.062	14.062%	6.808	11.053%	0.039	0.992
PD53333e	197	0.993	30.64	15.553%	6.167	11.698%	0.03726	0.99
PD53343a	142	0.959	41.201	29.015%	11.438	28.559%	0.09216	0.945
PD53343c	171	0.978	43.895	25.67%	9.955	21.76%	0.08799	0.969
PD53343d	226	0.99	39.351	17.412%	9.962	14.442%	0.04969	0.987
PD53343e	268	0.979	67.06	25.022%	20.523	22.809%	0.08394	0.976
PD53343f	177	0.978	43.604	24.635%	10.73	21.023%	0.06999	0.97
PD53343g	180	0.98	41.152	22.862%	9.777	20.143%	0.07174	0.972
PD53347a	299	0.998	23.744	7.941%	5.211	6.155%	0.00887	0.998
PD53349a	173	0.963	54.53	31.52%	11.664	27.214%	0.1123	0.944
PD53349c	189	0.967	56.303	29.79%	11.358	25.635%	0.13489	0.946
PD53350a	241	0.986	48.188	19.995%	10.555	16.848%	0.06018	0.98
PD53350c	295	0.989	56.146	19.033%	11.44	14.902%	0.05971	0.985
PD53352a	174	0.976	47.026	27.026%	10.066	21.852%	0.07772	0.966
PD53352c	173	0.973	52.428	30.305%	10.843	22.977%	0.10077	0.963
PD53355a	193	0.949	67.366	34.905%	16.497	31.649%	0.11526	0.928
PD53357a	182	0.957	66.483	36.529%	14.648	29.875%	0.14661	0.941
PD53359a	151	0.964	52.565	34.811%	11.763	27.385%	0.13595	0.953
PD53364a	260	0.977	62.246	23.941%	14.526	21.944%	0.06185	0.966
