Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.959	50.643	43.658%	9.739	28.28%	0.31384	0.946
PD53331a	169	0.808	102.625	60.725%	31.732	61.653%	0.46249	0.752
PD53332d	162	0.959	67.726	41.806%	13.579	30.424%	0.19533	0.949
PD53332e	90	0.914	53.963	59.959%	16.015	43.111%	0.41996	0.904
PD53333f	203	0.944	79.243	39.036%	18.502	33.91%	0.19759	0.923
PD53334a	135	0.946	63.064	46.714%	12.595	32.728%	0.27365	0.928
PD53337a	76	0.866	49.507	65.141%	13.868	50.107%	0.39308	0.838
PD53337c	85	0.931	40.891	48.107%	9.754	36.58%	0.26036	0.911
PD53338a	190	0.934	78.144	41.128%	16.336	35.682%	0.16488	0.895
PD53339a	126	0.768	101.013	80.169%	22.391	64.158%	0.62353	0.661
PD53341a	177	0.952	59.233	33.465%	14.058	30.728%	0.14182	0.929
PD53342a	167	0.959	63.286	37.896%	15.357	29.173%	0.16467	0.95
PD53343h	85	0.946	39.375	46.324%	10.144	34.855%	0.205	0.938
PD53343i	105	0.958	39.88	37.981%	9.38	29.737%	0.1742	0.947
PD53345a	173	0.916	91.815	53.072%	21.855	41.28%	0.2449	0.893
PD53346a	165	0.861	115.346	69.907%	27.745	53.564%	0.43785	0.837
PD53347c	261	0.969	96.494	36.971%	22.61	27.469%	0.14302	0.964
PD53348a	173	0.884	88.851	51.359%	22.405	46.85%	0.28283	0.838
PD53349d	157	0.949	60.845	38.755%	11.934	32.91%	0.17184	0.919
PD53349e	134	0.889	73.479	54.835%	14.723	49.631%	0.30699	0.819
PD53350d	190	0.969	62.914	33.113%	13.696	25.548%	0.14028	0.958
PD53350e	187	0.966	55.883	29.884%	13.565	26.188%	0.10628	0.954
PD53351a	369	0.92	156.232	42.339%	38.265	39.668%	0.17697	0.885
PD53352d	138	0.937	56.581	41.001%	14.022	34.903%	0.18982	0.916
PD53352e	178	0.955	63.29	35.556%	14.736	30.647%	0.12805	0.939
PD53353a	105	0.838	72.054	68.623%	14.701	54.598%	0.40656	0.751
PD53354a	102	0.979	31.072	30.463%	7.374	20.676%	0.1374	0.975
PD53355c	156	0.945	66.771	42.802%	15.179	33.706%	0.18242	0.927
PD53357c	124	0.953	54.124	43.648%	12.233	32.859%	0.22298	0.944
PD53357d	181	0.965	57.008	31.496%	12.5	26.405%	0.17019	0.949
PD53357e	162	0.973	46.472	28.686%	9.534	23.219%	0.14253	0.959
PD53358a	166	0.897	88.794	53.49%	19.342	46.638%	0.26438	0.849
PD53359c	186	0.839	109.32	58.774%	24.596	58.662%	0.302	0.737
PD53361a	124	0.968	48.474	39.092%	10.362	27.193%	0.2024	0.961
PD53362a	107	0.925	60.495	56.537%	12.485	39.305%	0.29854	0.904
PD53363a	94	0.868	55.506	59.049%	12.747	49.693%	0.3038	0.811
PD53364c	252	0.921	119.785	47.534%	27.59	39.479%	0.16466	0.892
PD53365a	230	0.964	71.985	31.298%	16.064	26.611%	0.15093	0.948
PD53366a	77	0.854	52.074	67.629%	11.988	52.32%	0.38025	0.804
PD53367a	134	0.864	73.821	55.09%	18.664	50.499%	0.30659	0.806
PD53368a	258	0.958	91.48	35.457%	19.681	29.313%	0.15634	0.941
PD53369a	118	0.908	61.213	51.875%	15.092	42.118%	0.31116	0.879
