Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.888	69.285	46.19%	19.534	46.068%	0.22743	0.844
PD53332a	244	0.982	51.258	21.007%	11.82	18.75%	0.06063	0.974
PD53332c	362	0.994	46.077	12.728%	12.973	11.95%	0.0326	0.993
PD53333a	234	0.983	50.998	21.794%	10.909	18.177%	0.07078	0.976
PD53333c	209	0.99	39.054	18.686%	9.393	15.696%	0.06	0.988
PD53333d	228	0.992	38.14	16.728%	8.043	13.058%	0.05489	0.988
PD53333e	197	0.991	32.83	16.665%	6.906	13.1%	0.04523	0.988
PD53343a	142	0.985	28.104	19.792%	6.902	17.233%	0.06468	0.98
PD53343c	171	0.986	35.494	20.757%	7.874	17.211%	0.07021	0.98
PD53343d	226	0.994	33.207	14.693%	7.631	11.063%	0.0374	0.992
PD53343e	268	0.996	39.075	14.58%	9.609	10.679%	0.0491	0.996
PD53343f	177	0.979	44.57	25.181%	10.451	20.476%	0.07898	0.972
PD53343g	180	0.988	35.668	19.816%	7.527	15.507%	0.0686	0.983
PD53347a	299	0.999	16.26	5.438%	3.428	4.049%	0.00905	0.999
PD53349a	173	0.967	52.706	30.466%	10.978	25.613%	0.11411	0.949
PD53349c	189	0.976	49.143	26.002%	9.705	21.905%	0.10639	0.961
PD53350a	241	0.988	44.658	18.53%	9.509	15.178%	0.05053	0.983
PD53350c	295	0.989	57.761	19.58%	12.038	15.681%	0.06579	0.984
PD53352a	174	0.991	31.547	18.13%	6.012	13.051%	0.05201	0.988
PD53352c	173	0.988	35.893	20.747%	7.333	15.539%	0.07036	0.983
PD53355a	193	0.971	53.896	27.925%	12.481	23.944%	0.0875	0.96
PD53357a	182	0.975	52.215	28.69%	11.516	23.487%	0.10398	0.967
PD53359a	151	0.969	45.522	30.147%	11.203	26.082%	0.12215	0.959
PD53364a	260	0.985	55.602	21.385%	11.367	17.172%	0.05553	0.978
