Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.88	79.918	53.279%	20.373	48.046%	0.27208	0.835
PD53332a	244	0.979	54.822	22.468%	12.767	20.252%	0.06535	0.97
PD53332c	362	0.984	63.945	17.664%	20.442	18.83%	0.04243	0.98
PD53333a	234	0.944	90.273	38.578%	20.228	33.704%	0.15989	0.92
PD53333c	209	0.97	55.563	26.585%	14.792	24.719%	0.10151	0.961
PD53333d	228	0.975	60.206	26.406%	13.646	22.154%	0.11759	0.965
PD53333e	197	0.962	57.991	29.437%	14.512	27.529%	0.12163	0.946
PD53343a	142	0.936	59.019	41.563%	14.192	35.436%	0.16351	0.912
PD53343c	171	0.956	55.613	32.522%	13.519	29.55%	0.14741	0.938
PD53343d	226	0.944	92.78	41.053%	24.494	35.51%	0.15333	0.934
PD53343e	268	0.924	126.679	47.268%	38.757	43.074%	0.2035	0.921
PD53343f	177	0.955	67.724	38.262%	16.052	31.45%	0.13654	0.943
PD53343g	180	0.954	60.577	33.654%	14.599	30.077%	0.1273	0.936
PD53347a	299	0.955	106.203	35.519%	25.377	29.976%	0.10883	0.939
PD53349a	173	0.963	56.217	32.495%	11.635	27.146%	0.10866	0.943
PD53349c	189	0.967	56.102	29.684%	11.388	25.703%	0.13334	0.946
PD53350a	241	0.839	127.284	52.815%	34.652	55.311%	0.22438	0.762
PD53350c	295	0.876	138.523	46.957%	37.345	48.648%	0.21681	0.816
PD53352a	174	0.956	60.409	34.718%	13.81	29.979%	0.12609	0.937
PD53352c	173	0.956	68.375	39.523%	13.893	29.44%	0.15026	0.939
PD53355a	193	0.834	92.375	47.863%	29.052	55.735%	0.26633	0.761
PD53357a	182	0.945	72.396	39.778%	16.453	33.557%	0.15843	0.924
PD53359a	151	0.92	65.065	43.089%	16.862	39.256%	0.26222	0.891
PD53364a	260	0.951	84.301	32.423%	20.496	30.962%	0.11979	0.927
