Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330a	150	0.89	73.969	49.313%	19.426	45.813%	0.22148	0.848
PD53332a	244	0.98	53.701	22.009%	12.677	20.11%	0.05926	0.97
PD53332c	362	0.986	63.992	17.677%	18.868	17.38%	0.05104	0.983
PD53333a	234	0.973	65.686	28.071%	13.911	23.179%	0.10614	0.96
PD53333c	209	0.992	35.585	17.026%	8.491	14.189%	0.04194	0.99
PD53333d	228	0.993	33.139	14.535%	7.22	11.722%	0.04368	0.991
PD53333e	197	0.994	28.212	14.321%	6.002	11.385%	0.03444	0.991
PD53343a	142	0.986	32.657	22.998%	7.186	17.943%	0.09338	0.983
PD53343c	171	0.984	37.716	22.056%	8.132	17.775%	0.09371	0.978
PD53343d	226	0.989	41.054	18.165%	10.431	15.122%	0.05106	0.986
PD53343e	268	0.996	37.474	13.983%	9.776	10.865%	0.03789	0.995
PD53343f	177	0.977	46.049	26.016%	11.01	21.572%	0.08536	0.969
PD53343g	180	0.982	43.174	23.986%	9.273	19.104%	0.08236	0.975
PD53347a	299	0.999	19.954	6.674%	4.286	5.063%	0.00907	0.998
PD53349a	173	0.965	53.7	31.04%	11.174	26.071%	0.11019	0.947
PD53349c	189	0.969	52.619	27.841%	11.086	25.022%	0.13186	0.95
PD53350a	241	0.988	45.513	18.885%	9.631	15.373%	0.06099	0.983
PD53350c	295	0.99	52.746	17.88%	10.982	14.306%	0.05258	0.985
PD53352a	174	0.975	47.988	27.579%	10.185	22.11%	0.09388	0.965
PD53352c	173	0.975	51.451	29.74%	10.771	22.824%	0.10132	0.965
PD53355a	193	0.952	64.059	33.191%	16.017	30.728%	0.10833	0.933
PD53357a	182	0.954	67.286	36.97%	15.196	30.993%	0.15521	0.939
PD53359a	151	0.966	50.844	33.672%	11.659	27.143%	0.13509	0.956
PD53364a	260	0.987	52.178	20.068%	10.879	16.434%	0.04573	0.981
