Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.978	36.585	31.539%	7.145	20.747%	0.19565	0.971
PD53332d	162	0.975	49.497	30.554%	10.343	23.174%	0.13868	0.966
PD53332e	90	0.985	30.544	33.938%	7.053	18.986%	0.19858	0.983
PD53333f	203	0.979	51.275	25.259%	11.287	20.687%	0.10635	0.971
PD53334a	135	0.971	45.77	33.904%	9.276	24.104%	0.19696	0.961
PD53337c	85	0.972	29.22	34.376%	6.37	23.889%	0.21408	0.965
PD53338a	190	0.95	68.533	36.07%	14.305	31.246%	0.14656	0.922
PD53342a	167	0.965	59.259	35.484%	14.696	27.918%	0.15096	0.958
PD53343h	85	0.969	31.363	36.898%	7.461	25.636%	0.16268	0.963
PD53343i	105	0.967	40.094	38.185%	8.447	26.779%	0.17531	0.959
PD53345a	173	0.947	81.544	47.135%	18.117	34.22%	0.22692	0.936
PD53347c	261	0.999	17.308	6.631%	3.643	4.426%	0.01499	0.999
PD53348a	173	0.985	35.267	20.386%	8.212	17.172%	0.08764	0.98
PD53349d	157	0.968	47.511	30.262%	9.261	25.538%	0.09854	0.947
PD53349e	134	0.928	57.023	42.554%	11.673	39.35%	0.19586	0.882
PD53350d	190	0.977	52.23	27.489%	11.489	21.431%	0.09806	0.969
PD53350e	187	0.976	48.559	25.967%	11.458	22.121%	0.07771	0.967
PD53351a	369	0.986	76.716	20.79%	16.181	16.774%	0.05995	0.98
PD53352d	138	0.977	42.056	30.475%	8.648	21.526%	0.12227	0.969
PD53352e	178	0.97	56.713	31.861%	11.94	24.832%	0.11476	0.96
PD53354a	102	0.982	30.101	29.511%	7.052	19.773%	0.13354	0.979
PD53355c	156	0.976	46.82	30.013%	9.925	22.039%	0.12652	0.969
PD53357c	124	0.975	39.258	31.66%	8.585	23.06%	0.15646	0.968
PD53357d	181	0.977	46.57	25.729%	10.307	21.773%	0.12414	0.967
PD53357e	162	0.977	44.881	27.704%	8.8	21.432%	0.1189	0.967
PD53358a	166	0.95	59.741	35.989%	12.971	31.276%	0.13372	0.924
PD53359c	186	0.968	52.146	28.035%	10.58	25.233%	0.10553	0.946
PD53361a	124	0.987	32.158	25.934%	6.583	17.276%	0.1183	0.983
PD53362a	107	0.968	42.471	39.693%	8.059	25.371%	0.22214	0.958
PD53364c	252	0.987	56.559	22.444%	11.515	16.477%	0.08885	0.982
PD53365a	230	0.968	71.678	31.164%	15.557	25.771%	0.15832	0.956
PD53368a	258	0.968	82.972	32.16%	17.187	25.598%	0.11969	0.954
PD53369a	118	0.949	46.924	39.766%	11.314	31.574%	0.20606	0.934
