Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD53330c	116	0.97	42.886	36.971%	8.441	24.51%	0.26335	0.96
PD53331a	169	0.959	63.09	37.331%	15.731	30.564%	0.14205	0.951
PD53332d	162	0.974	51.888	32.03%	10.304	23.087%	0.15015	0.965
PD53332e	90	0.975	39.514	43.904%	9.191	24.741%	0.26442	0.973
PD53333f	203	0.943	83.29	41.03%	18.348	33.628%	0.21235	0.921
PD53334a	135	0.966	47.652	35.298%	9.977	25.925%	0.21097	0.954
PD53337a	76	0.95	35.351	46.514%	8.673	31.337%	0.3018	0.94
PD53337c	85	0.981	24.777	29.149%	5.173	19.4%	0.17656	0.976
PD53338a	190	0.953	67.12	35.326%	14.049	30.687%	0.12561	0.926
PD53339a	126	0.955	50.197	39.839%	10.546	30.218%	0.19435	0.939
PD53341a	177	0.978	45.128	25.496%	9.65	21.093%	0.08351	0.969
PD53342a	167	0.968	60.291	36.102%	14.402	27.359%	0.16743	0.962
PD53343h	85	0.978	29.079	34.211%	6.655	22.867%	0.16274	0.974
PD53343i	105	0.96	42.843	40.803%	9.335	29.594%	0.18854	0.95
PD53345a	173	0.964	52.624	30.418%	14.342	27.089%	0.11337	0.955
PD53346a	165	0.888	102.163	61.917%	25.001	48.267%	0.37442	0.866
PD53347c	261	0.995	38.053	14.58%	9.25	11.238%	0.03352	0.994
PD53348a	173	0.971	46.292	26.758%	11.497	24.041%	0.12865	0.959
PD53349d	157	0.96	50.553	32.199%	10.411	28.71%	0.15567	0.936
PD53349e	134	0.943	53.884	40.212%	10.459	35.257%	0.20464	0.906
PD53350d	190	0.968	60.751	31.974%	13.832	25.801%	0.12293	0.958
PD53350e	187	0.966	55.844	29.863%	13.993	27.015%	0.10381	0.955
PD53351a	369	0.988	74.82	20.276%	15.212	15.77%	0.06207	0.982
PD53352d	138	0.968	47.734	34.59%	10.226	25.454%	0.15424	0.958
PD53352e	178	0.972	49.489	27.803%	11.597	24.119%	0.088	0.961
PD53353a	105	0.908	52.263	49.774%	11.296	41.952%	0.26998	0.862
PD53354a	102	0.983	32.525	31.887%	7.017	19.675%	0.15554	0.98
PD53355c	156	0.956	60.146	38.555%	13.56	30.111%	0.1624	0.942
PD53357c	124	0.975	38.69	31.202%	8.49	22.805%	0.15072	0.967
PD53357d	181	0.977	45.926	25.373%	10.334	21.83%	0.11841	0.967
PD53357e	162	0.976	40.721	25.136%	8.95	21.797%	0.12702	0.965
PD53358a	166	0.953	55.403	33.375%	12.525	30.2%	0.13761	0.929
PD53359c	186	0.939	63.253	34.007%	14.491	34.561%	0.14508	0.894
PD53361a	124	0.986	32.919	26.548%	6.653	17.46%	0.13379	0.983
PD53362a	107	0.97	42.532	39.75%	7.774	24.474%	0.20831	0.96
PD53363a	94	0.929	44.226	47.049%	9.52	37.113%	0.2079	0.9
PD53364c	252	0.974	73.366	29.113%	15.898	22.749%	0.14534	0.965
PD53365a	230	0.974	63.446	27.585%	14.141	23.426%	0.1237	0.964
PD53366a	77	0.909	41.234	53.551%	9.585	41.832%	0.35674	0.88
PD53367a	134	0.958	46.718	34.864%	10.645	28.802%	0.13925	0.941
PD53368a	258	0.968	85.375	33.091%	17.317	25.792%	0.13054	0.956
PD53369a	118	0.937	50.032	42.4%	12.519	34.937%	0.23392	0.918
